,session,text,audio,speaker_id
0,F01-Session1-arrayMic-0006,STICK,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0006.wav,F01
1,F01-Session1-arrayMic-0008,EXCEPT IN THE WINTER WHEN THE OOZE OR SNOW OR ICE PREVENTS,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0008.wav,F01
2,F01-Session1-arrayMic-0009,PAT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0009.wav,F01
3,F01-Session1-arrayMic-0010,UP,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0010.wav,F01
4,F01-Session1-arrayMic-0011,MEAT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0011.wav,F01
5,F01-Session1-arrayMic-0012,MEAT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0012.wav,F01
6,F01-Session1-arrayMic-0013,KNOW,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0013.wav,F01
7,F01-Session1-arrayMic-0014,HE SLOWLY TAKES A SHORT WALK IN THE OPEN AIR EACH DAY,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0014.wav,F01
8,F01-Session1-arrayMic-0015,AIR,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0015.wav,F01
9,F01-Session1-arrayMic-0016,SWARM,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0016.wav,F01
10,F01-Session1-arrayMic-0017,DOUBLE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0017.wav,F01
11,F01-Session1-arrayMic-0018,NO,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0018.wav,F01
12,F01-Session1-arrayMic-0019,STORM,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0019.wav,F01
13,F01-Session1-arrayMic-0020,USUALLY MINUS SEVERAL BUTTONS,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0020.wav,F01
14,F01-Session1-arrayMic-0021,DUG,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0021.wav,F01
15,F01-Session1-arrayMic-0022,YOU WISHED TO KNOW ALL ABOUT MY GRANDFATHER,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0022.wav,F01
16,F01-Session1-arrayMic-0024,KNEE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0024.wav,F01
17,F01-Session1-arrayMic-0025,FEET,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0025.wav,F01
18,F01-Session1-arrayMic-0026,TRAIN,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0026.wav,F01
19,F01-Session1-arrayMic-0027,BUT HE ALWAYS ANSWERS BANANA OIL,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0027.wav,F01
20,F01-Session1-arrayMic-0028,BUT HE ALWAYS ANSWERS BANANA OIL,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0028.wav,F01
21,F01-Session1-arrayMic-0029,BEAT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0029.wav,F01
22,F01-Session1-arrayMic-0030,THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0030.wav,F01
23,F01-Session1-arrayMic-0031,THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0031.wav,F01
24,F01-Session1-arrayMic-0032,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0032.wav,F01
25,F01-Session1-arrayMic-0033,CAR,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0033.wav,F01
26,F01-Session1-arrayMic-0034,FEET,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0034.wav,F01
27,F01-Session1-arrayMic-0035,GIVING THOSE WHO OBSERVE HIM A PRONOUNCED FEELING OF THE UTMOST RESPECT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0035.wav,F01
28,F01-Session1-arrayMic-0036,WE HAVE OFTEN URGED HIM TO WALK MORE AND SMOKE LESS,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0036.wav,F01
29,F01-Session1-arrayMic-0037,RAKE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0037.wav,F01
30,F01-Session1-arrayMic-0039,SWORE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0039.wav,F01
31,F01-Session1-arrayMic-0040,RAVE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0040.wav,F01
32,F01-Session1-arrayMic-0041,RAVE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0041.wav,F01
33,F01-Session1-arrayMic-0042,FOR,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0042.wav,F01
34,F01-Session1-arrayMic-0043,SIP,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0043.wav,F01
35,F01-Session1-arrayMic-0044,GROW,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0044.wav,F01
36,F01-Session1-arrayMic-0045,BIT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0045.wav,F01
37,F01-Session1-arrayMic-0046,CHAIR,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0046.wav,F01
38,F01-Session1-arrayMic-0047,ONE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0047.wav,F01
39,F01-Session1-arrayMic-0048,FAIR,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0048.wav,F01
40,F01-Session1-arrayMic-0049,TWO,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0049.wav,F01
41,F01-Session1-arrayMic-0050,BETA,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0050.wav,F01
42,F01-Session1-arrayMic-0051,RAGE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0051.wav,F01
43,F01-Session1-arrayMic-0052,SPARK,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0052.wav,F01
44,F01-Session1-arrayMic-0053,SWARM,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0053.wav,F01
45,F01-Session1-arrayMic-0054,BEAT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0054.wav,F01
46,F01-Session1-arrayMic-0057,RACE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0057.wav,F01
47,F01-Session1-arrayMic-0058,THE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0058.wav,F01
48,F01-Session1-arrayMic-0059,THE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0059.wav,F01
49,F01-Session1-arrayMic-0060,FORM,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0060.wav,F01
50,F01-Session1-arrayMic-0061,DARK,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0061.wav,F01
51,F01-Session1-arrayMic-0062,SIP,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0062.wav,F01
52,F01-Session1-arrayMic-0063,FARM,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0063.wav,F01
53,F01-Session1-arrayMic-0064,RAID,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0064.wav,F01
54,F01-Session1-arrayMic-0065,FEE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0065.wav,F01
55,F01-Session1-arrayMic-0066,WEED,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0066.wav,F01
56,F01-Session1-arrayMic-0069,BAT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0069.wav,F01
57,F01-Session1-arrayMic-0070,HORN,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0070.wav,F01
58,F01-Session1-arrayMic-0071,JAGGED,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0071.wav,F01
59,F01-Session1-arrayMic-0072,SHEET,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0072.wav,F01
60,F01-Session1-arrayMic-0073,CHAIR,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0073.wav,F01
61,F01-Session1-arrayMic-0074,BUBBLE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0074.wav,F01
62,F01-Session1-arrayMic-0075,WARM,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0075.wav,F01
63,F01-Session1-arrayMic-0076,SHIP,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0076.wav,F01
64,F01-Session1-arrayMic-0079,AIR,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0079.wav,F01
65,F01-Session1-arrayMic-0080,HAIR,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0080.wav,F01
66,F01-Session1-arrayMic-0081,SHARE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0081.wav,F01
67,F01-Session1-arrayMic-0082,RATE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0082.wav,F01
68,F01-Session1-arrayMic-0083,GOAT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0083.wav,F01
69,F01-Session1-arrayMic-0084,TRACE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0084.wav,F01
70,F01-Session1-arrayMic-0085,SIP,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0085.wav,F01
71,F01-Session1-arrayMic-0086,GO,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0086.wav,F01
72,F01-Session1-arrayMic-0087,ALPHA,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0087.wav,F01
73,F01-Session1-arrayMic-0088,LEFT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0088.wav,F01
74,F01-Session1-arrayMic-0089,STICKS,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0089.wav,F01
75,F01-Session1-arrayMic-0090,TROUBLE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0090.wav,F01
76,F01-Session1-arrayMic-0091,DAGGER,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0091.wav,F01
77,F01-Session1-arrayMic-0093,A LONG FLOWING BEARD CLINGS TO HIS CHIN,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0093.wav,F01
78,F01-Session1-arrayMic-0094,SLIP,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0094.wav,F01
79,F01-Session1-arrayMic-0095,GLOW,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0095.wav,F01
80,F01-Session1-arrayMic-0097,TRADE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0097.wav,F01
81,F01-Session1-arrayMic-0098,RANGE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0098.wav,F01
82,F01-Session1-arrayMic-0099,STUBBLE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0099.wav,F01
83,F01-Session1-arrayMic-0100,FLOOR,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0100.wav,F01
84,F01-Session1-arrayMic-0101,BUG,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0101.wav,F01
85,F01-Session1-arrayMic-0102,BUG,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0102.wav,F01
86,F01-Session1-arrayMic-0104,YET HE STILL THINKS AS SWIFTLY AS EVER,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0104.wav,F01
87,F01-Session1-arrayMic-0105,YET HE STILL THINKS AS SWIFTLY AS EVER,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0105.wav,F01
88,F01-Session1-arrayMic-0106,YET HE STILL THINKS AS SWIFTLY AS EVER,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0106.wav,F01
89,F01-Session1-arrayMic-0108,JACKET,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0108.wav,F01
90,F01-Session1-arrayMic-0109,BORN,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0109.wav,F01
91,F01-Session1-arrayMic-0110,WARM,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0110.wav,F01
92,F01-Session1-arrayMic-0111,CORN,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0111.wav,F01
93,F01-Session1-arrayMic-0112,RIGHT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0112.wav,F01
94,F01-Session1-arrayMic-0113,KNEW,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0113.wav,F01
95,F01-Session1-arrayMic-0114,WELL HE IS NEARLY NINETY THREE YEARS OLD,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0114.wav,F01
96,F01-Session1-arrayMic-0115,FEED,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0115.wav,F01
97,F01-Session1-arrayMic-0116,TWICE EACH DAY HE PLAYS SKILLFULLY AND WITH ZEST UPON OUR SMALL ORGAN,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0116.wav,F01
98,F01-Session1-arrayMic-0117,FEED,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0117.wav,F01
99,F01-Session1-arrayMic-0118,KNEW,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0118.wav,F01
100,F01-Session1-arrayMic-0119,RAIN,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0119.wav,F01
101,F01-Session1-arrayMic-0121,PARK,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0121.wav,F01
102,F01-Session1-arrayMic-0122,TIP,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0122.wav,F01
103,F01-Session1-arrayMic-0123,DOWN,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0123.wav,F01
104,F01-Session1-arrayMic-0124,GADGET,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0124.wav,F01
105,F01-Session1-arrayMic-0125,STORE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0125.wav,F01
106,F01-Session1-arrayMic-0126,HE DRESSES HIMSELF IN AN ANCIENT BLACK FROCK COAT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0126.wav,F01
107,F01-Session1-arrayMic-0128,STORM,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0128.wav,F01
108,F01-Session1-arrayMic-0129,STORM,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0129.wav,F01
109,F01-Session1-arrayMic-0130,GRANDFATHER LIKES TO BE MODERN IN HIS LANGUAGE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0130.wav,F01
110,F01-Session1-arrayMic-0131,TORN,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0131.wav,F01
111,F01-Session1-arrayMic-0132,WHEN HE SPEAKS HIS VOICE IS JUST A BIT CRACKED AND QUIVERS A TRIFLE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0132.wav,F01
112,F01-Session1-arrayMic-0133,TRAIT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0133.wav,F01
